row,dam,lat,lng,status,detail,search_radius,raw_ids
2453,天神池,33.52076264,130.41861092,ok,cont-1:id=1591(K12_pam_a),,[1591]
2454,脊振,33.43513546,130.39620982,ok,cont-1:id=1591(K12_pam_a),,[1591]
2455,曲渕（元）,33.49777778,130.3077778,ok,cont-1:id=1624(K21_pam_a),,[1624]
2456,曲渕（再）,33.49777644,130.30776773,ok,cont-1:id=1624(K21_pam_a),,[1624]
2457,瑞梅寺,33.50417317,130.24808429,ok,cont-1:id=1884(K12_pim_a),500,"[1884, 199, 326]"
2458,不動池,33.4978718,130.21768338,ok,cont-1:id=199(D3-P1_mscma_hg),,[199]
2459,雷山大溜池,33.52977177,130.21698506,ok,cont-1:id=1884(K12_pim_a); cont-4:id=1645(Q22_std); cont-5:id=1406(Q32-33_std),500,"[1884, 1645, 1405, 1406]"
2460,山神,33.45433423,130.48610537,ok,cont-1:id=1884(K12_pim_a),500,"[1884, 1591]"
2461,千倉,33.36872934,130.92919894,ok,cont-2:id=2082(N3_vis_al),500,[2082]
2462,湯の谷溜池,33.48805556,130.6231944,ok,cont-1:id=1884(K12_pim_a),,[1884]
2463,神籠池,33.33238223,130.33091864,ok,cont-1:id=199(D3-P1_mscma_hg),,[199]
2464,松原（元）,33.19416667,130.99383268,ok,cont-4:id=2080(Q11_vis_al),500,"[2080, 2322]"
2465,松原（再）,33.19416667,130.99383268,ok,cont-4:id=2080(Q11_vis_al),500,"[2080, 2322]"
2466,地蔵原,33.16017983,131.19889844,ok,cont-4:id=1580(Q2_vis_al); cont-5:id=1883(H_sad),500,[1883]
2467,夜明,33.33851412,130.84526733,ok,cont-2:id=2082(N3_vis_al); cont-5:id=1883(H_sad),500,"[2082, 1883]"
2468,女子畑第二調整池,33.28856863,130.97004892,ok,cont-4:id=2355(Q12_vas_ap),,[2355]
2469,藤波,33.31649468,130.78975154,ok,cont-2:id=2082(N3_vis_al); cont-5:id=1883(H_sad),500,[1883]
2470,本谷池,33.48463212,130.56990013,ok,cont-1:id=1591(K12_pam_a),,[1591]
2471,合所,33.31578899,130.80291278,ok,cont-2:id=2082(N3_vis_al); cont-5:id=1883(H_sad),500,"[2082, 1883]"
2472,筑後大堰,33.30420361,130.47769989,ok,cont-1:id=1624(K21_pam_a); cont-2:id=2361(N3_sns); cont-5:id=1883(H_sad),4000,[1883]
2473,下筌（元）,33.16025174,130.98390541,ok,cont-4:id=1890(Q12_vis_al),500,"[1890, 2080]"
2474,下筌（再）,33.15978487,130.98479289,ok,cont-4:id=2080(Q11_vis_al),500,"[2080, 1890]"
2475,城原川,33.38062671,130.32168637,ok,cont-1:id=1884(K12_pim_a),,[1884]
2476,大山,33.24339095,130.95668065,ok,cont-4:id=2080(Q11_vis_al),,[2080]
2477,寺内,33.42939894,130.72354509,ok,cont-1:id=554(Tr22-J31_mscpe_hc); cont-5:id=1883(H_sad),500,"[554, 1883]"
2478,松木,33.28679276,131.21841625,ok,cont-4:id=2107(Q12_vas_al); cont-5:id=1406(Q32-33_std),500,"[2107, 1406, 1890]"
2479,高瀬川,33.2725,130.9291667,ok,cont-2:id=2082(N3_vis_al); cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
2480,河内防災,33.40662579,130.48925291,ok,cont-1:id=1591(K12_pam_a),500,"[1591, 1884]"
2481,小石原川,33.46755068,130.77042269,ok,cont-1:id=554(Tr22-J31_mscpe_hc),,[554]
2482,広川防災,33.24201108,130.61674054,ok,cont-1:id=554(Tr22-J31_mscpe_hc),,[554]
